ensembl_peptide_id hgnc_symbol
ENSP00000328017 KRBA2
ENSP00000328625 NRROS
ENSP00000329380 GP1BA
ENSP00000330054 EEF1A1
ENSP00000330148 GRID1
ENSP00000330484 AMY1B
ENSP00000330631 RTN4RL1
ENSP00000331741 HOXB2
ENSP00000332659 CCR4
ENSP00000332668 TSKU
ENSP00000332674 LRRC8B
ENSP00000332979 BACE2
ENSP00000333395 ARSI
ENSP00000333568 PRKD1
ENSP00000334952 ADGRA3
ENSP00000335397 RTN4RL2
ENSP00000336888 SLC44A2
ENSP00000337103 CHAT
ENSP00000337722 ARL6
ENSP00000337797 PIDD1
ENSP00000338728 CCDC88A
ENSP00000338887 LRRC8D
ENSP00000339626 SLC35E4
ENSP00000339918 XRRA1
ENSP00000339992 MYB
ENSP00000341247 GSPT2
ENSP00000341327 SOCS4
ENSP00000341944 LRRC66
ENSP00000342188 LRRIQ4
ENSP00000343490 LCTL
ENSP00000343924 PRELP
ENSP00000344223 MBTPS1
ENSP00000344242 LRRC17
ENSP00000344401 LIN28B
ENSP00000344468 SDC3
ENSP00000344470 LRRC39
ENSP00000344758 ECM2
ENSP00000345023 GSTO2
ENSP00000345175 PODNL1
ENSP00000345985 LRFN2
ENSP00000346022 RPL9
ENSP00000346643 HKDC1
ENSP00000347041 FMOD
ENSP00000347451 LINGO1
ENSP00000347454 ANO1
ENSP00000348020 MLH3
ENSP00000348099 PDLIM7
ENSP00000348827 THRB
ENSP00000348944 RSPO1
ENSP00000349131 RSPO3
ENSP00000349142 ATP5C1
ENSP00000349437 IGF2R
ENSP00000349508 CHD4
ENSP00000350162 SYCP2
ENSP00000350249 POT1
ENSP00000350757 GMFB
ENSP00000350911 CTSE
ENSP00000351811 EDC4
ENSP00000352401 RPE
ENSP00000352510 TECPR2
ENSP00000353292 SCNN1A
ENSP00000353575 EIF2B3
ENSP00000353741 ETF1
ENSP00000353874 TLR9
ENSP00000354532 PNP
ENSP00000354610 AMY2B
ENSP00000354718 AKAP13
ENSP00000354901 CXCL9
ENSP00000355166 LRRC10
ENSP00000355187 LRRTM3
ENSP00000355402 ISLR2
ENSP00000355689 GUK1
ENSP00000355890 EPRS
ENSP00000356105 SLC41A1
ENSP00000356143 LRRN2
ENSP00000356191 OPTC
ENSP00000356811 HBS1L
ENSP00000357066 ARG1
ENSP00000357113 IFI16
ENSP00000357122 PYHIN1
ENSP00000357123 MNDA
ENSP00000357153 CD1D
ENSP00000357810 LINGO4
ENSP00000357920 DDO
ENSP00000358089 TIAL1
ENSP00000358464 SHOC2
ENSP00000358727 GSTO1
ENSP00000358765 TPBG
ENSP00000358997 IRAK1
ENSP00000359096 AMY1C
ENSP00000359100 AMY1A
ENSP00000359285 CHRNA4
ENSP00000359300 CETN2
ENSP00000359305 TMED5
ENSP00000359454 HFM1
ENSP00000359483 LRRC8C
ENSP00000359485 GBP6
ENSP00000359490 GBP4
ENSP00000359497 GBP2
ENSP00000359504 GBP1
ENSP00000359512 GBP3
ENSP00000359540 CREG1
ENSP00000359663 CD40LG
ENSP00000359682 BRS3
ENSP00000360262 FGGY
ENSP00000360327 PARS2
ENSP00000360560 TCTE1
ENSP00000360597 LRRC26
ENSP00000361177 LRIT1
ENSP00000361185 LRIT2
ENSP00000361626 YBX1
ENSP00000361705 DNTTIP1
ENSP00000362116 PGC
ENSP00000362330 CHD6
ENSP00000363275 LRRC18
ENSP00000364694 ASPN
ENSP00000364700 OMD
ENSP00000364986 AGMAT
ENSP00000364995 SHC3
ENSP00000365233 TPP2
ENSP00000365253 LRRC38
ENSP00000365692 PIM2
ENSP00000365730 STK24
ENSP00000366170 CST9
ENSP00000366178 CST9L
ENSP00000366326 NEBL
ENSP00000367123 SLC3A2
ENSP00000367315 LRRC10B
ENSP00000367391 PGA4
ENSP00000367459 KIAA0319
ENSP00000367615 APRT
ENSP00000368135 LRRN4
ENSP00000369395 LRRC19
ENSP00000369407 SLC25A35
ENSP00000369442 KL
ENSP00000369519 MTAP
ENSP00000369643 GRPR
ENSP00000369716 CHD3
ENSP00000369756 PTPRA
ENSP00000370372 NLN
ENSP00000371607 MIPEP
ENSP00000371994 NYNRIN
ENSP00000372959 LRRC30
ENSP00000373600 LRRK1
ENSP00000373853 LRRC4B
ENSP00000374447 LRCH1
ENSP00000374507 CCDC88C
ENSP00000376384 ADGRA1
ENSP00000377747 CHD2
ENSP00000377867 STK26
ENSP00000377954 LARS
ENSP00000379144 TNRC6A
ENSP00000381045 UBE3A
ENSP00000381089 SLC35E3
ENSP00000381970 GIN1
ENSP00000382518 SRL
ENSP00000382834 NPRL3
ENSP00000382863 CHD8
ENSP00000383382 GP1BB
ENSP00000384917 SVEP1
ENSP00000385026 CHRNA2
ENSP00000385916 ENSP00000385916
ENSP00000386357 LRRTM4
ENSP00000387307 RAB6C
ENSP00000388648 CHEK1
ENSP00000390500 STK3
ENSP00000390651 IRAK4
ENSP00000392066 DIP2A
ENSP00000392094 EFTUD2
ENSP00000393845 PPIAL4G
ENSP00000395259 ZBED9
ENSP00000396452 PUDP
ENSP00000396749 KANSL3
ENSP00000396995 PAPD5
ENSP00000397582 AMY2A
ENSP00000398131 GSPT1
ENSP00000398350 C11orf68
ENSP00000399441 LRRC70
ENSP00000400168 ATP5J2-PTCD1
ENSP00000400803 LRRC69
ENSP00000401371 TIA1
ENSP00000402060 PVR
ENSP00000404029 SUPT5H
ENSP00000405290 NPAS1
ENSP00000405987 LRRD1
ENSP00000406367 ADGRA2
ENSP00000406490 PMS1
ENSP00000415840 ENSP00000415840
ENSP00000416683 IGFALS
ENSP00000417517 ENSP00000417517
ENSP00000419038 GFM1
ENSP00000419370 MALSU1
ENSP00000419542 LRRC55
ENSP00000419879 CDS2
ENSP00000429633 MYBL1
ENSP00000430684 IKBKB
ENSP00000430706 EIF5AL1
ENSP00000431872 TPT1
ENSP00000434849 LRRC24
ENSP00000435342 RTL1
ENSP00000435777 RPS13
ENSP00000437073 MYO18A
